iter	Passed	Remaining
0	24	24781
1	38	19430
2	85	28272
3	121	30275
4	152	30393
5	228	37854
6	243	34598
7	261	32369
8	275	30376
9	294	29121
10	309	27801
11	323	26594
12	337	25659
13	353	24877
14	361	23769
15	377	23240
16	391	22656
17	407	22214
18	419	21672
19	433	21222
20	445	20768
21	458	20393
22	481	20459
23	495	20150
24	518	20203
25	546	20489
26	572	20631
27	592	20562
28	611	20491
29	627	20303
30	643	20115
31	659	19939
32	672	19720
33	683	19426
34	694	19155
35	705	18896
36	715	18630
37	726	18395
38	738	18187
39	748	17963
40	759	17763
41	772	17612
42	782	17413
43	793	17241
44	806	17124
45	820	17007
46	838	17010
47	855	16964
48	870	16898
49	886	16834
50	901	16776
51	923	16827
52	937	16757
53	952	16689
54	967	16624
55	982	16562
56	1000	16554
57	1019	16552
58	1040	16592
59	1061	16625
60	1081	16655
61	1100	16650
62	1115	16590
63	1130	16529
64	1143	16455
65	1155	16355
66	1166	16249
67	1176	16131
68	1188	16034
69	1200	15950
70	1212	15864
71	1222	15757
72	1233	15663
73	1242	15553
74	1252	15452
75	1263	15366
76	1274	15272
77	1284	15187
78	1295	15104
79	1306	15027
80	1321	14989
81	1334	14938
82	1345	14861
83	1355	14783
84	1367	14715
85	1378	14645
86	1388	14571
87	1400	14512
88	1411	14446
89	1421	14371
90	1432	14309
91	1443	14249
92	1455	14197
93	1466	14137
94	1479	14094
95	1494	14072
96	1513	14085
97	1536	14140
98	1571	14301
99	1593	14343
100	1616	14390
101	1645	14491
102	1661	14466
103	1677	14450
104	1690	14406
105	1700	14338
106	1711	14280
107	1722	14225
108	1737	14201
109	1747	14135
110	1758	14083
111	1769	14029
112	1779	13967
113	1790	13915
114	1801	13859
115	1810	13799
116	1822	13751
117	1832	13694
118	1842	13641
119	1853	13591
120	1863	13536
121	1874	13492
122	1885	13445
123	1896	13394
124	1907	13354
125	1922	13334
126	1937	13319
127	1948	13271
128	1959	13227
129	1970	13188
130	1981	13144
131	1991	13094
132	2002	13050
133	2013	13010
134	2024	12970
135	2035	12929
136	2046	12890
137	2059	12865
138	2074	12850
139	2089	12834
140	2105	12826
141	2120	12815
142	2142	12837
143	2156	12821
144	2172	12809
145	2187	12793
146	2201	12776
147	2213	12742
148	2223	12697
149	2235	12668
150	2250	12654
151	2265	12638
152	2280	12623
153	2295	12608
154	2310	12594
155	2324	12576
156	2339	12562
157	2353	12541
158	2367	12520
159	2381	12503
160	2394	12478
161	2405	12445
162	2416	12406
163	2426	12370
164	2436	12332
165	2448	12299
166	2459	12267
167	2472	12244
168	2483	12211
169	2494	12178
170	2504	12143
171	2517	12118
172	2534	12115
173	2550	12108
174	2564	12091
175	2578	12073
176	2591	12051
177	2603	12024
178	2614	11993
179	2628	11972
180	2640	11947
181	2652	11923
182	2663	11893
183	2676	11867
184	2687	11841
185	2703	11831
186	2720	11829
187	2738	11829
188	2758	11835
189	2775	11833
190	2794	11836
191	2811	11830
192	2828	11828
193	2846	11826
194	2860	11809
195	2874	11790
196	2887	11767
197	2899	11745
198	2910	11715
199	2922	11691
200	2936	11671
201	2951	11660
202	2966	11646
203	2977	11618
204	2989	11595
205	3002	11570
206	3017	11559
207	3029	11535
208	3043	11518
209	3062	11520
210	3079	11514
211	3098	11516
212	3116	11514
213	3132	11505
214	3149	11498
215	3168	11500
216	3185	11494
217	3202	11488
218	3215	11467
219	3229	11448
220	3242	11431
221	3255	11407
222	3267	11383
223	3279	11359
224	3290	11332
225	3302	11309
226	3320	11306
227	3336	11296
228	3357	11303
229	3377	11306
230	3392	11294
231	3410	11291
232	3429	11289
233	3454	11309
234	3478	11323
235	3495	11315
236	3513	11312
237	3531	11305
238	3548	11297
239	3572	11313
240	3597	11329
241	3613	11319
242	3629	11306
243	3643	11289
244	3665	11294
245	3704	11355
246	3729	11369
247	3758	11395
248	3780	11402
249	3809	11429
250	3826	11417
251	3842	11404
252	3853	11378
253	3867	11357
254	3879	11333
255	3892	11313
256	3906	11293
257	3918	11270
258	3930	11244
259	3944	11227
260	3956	11203
261	3969	11182
262	3982	11160
263	3992	11131
264	4005	11108
265	4018	11088
266	4035	11080
267	4051	11067
268	4071	11065
269	4097	11079
270	4120	11083
271	4146	11096
272	4168	11099
273	4188	11097
274	4210	11099
275	4224	11080
276	4237	11059
277	4250	11040
278	4263	11018
279	4274	10991
280	4288	10973
281	4304	10958
282	4318	10940
283	4332	10923
284	4351	10917
285	4373	10919
286	4388	10901
287	4402	10883
288	4416	10865
289	4430	10847
290	4446	10833
291	4461	10817
292	4484	10820
293	4507	10823
294	4520	10803
295	4534	10784
296	4549	10767
297	4564	10751
298	4578	10734
299	4593	10717
300	4607	10700
301	4626	10693
302	4636	10666
303	4647	10640
304	4657	10614
305	4668	10587
306	4679	10563
307	4690	10537
308	4700	10510
309	4711	10486
310	4722	10461
311	4733	10438
312	4746	10417
313	4760	10400
314	4775	10384
315	4789	10368
316	4804	10351
317	4818	10334
318	4831	10315
319	4846	10299
320	4861	10282
321	4875	10266
322	4890	10249
323	4903	10229
324	4913	10204
325	4924	10180
326	4935	10157
327	4945	10131
328	4956	10108
329	4970	10091
